Date,Price,Open,High,Low,Change %,
8-May-91,1.2002,1.1997,1.2002,1.1865,0.18%,TRUE
7-May-91,1.198,1.1977,1.1997,1.1845,0.89%,TRUE
6-May-91,1.1874,1.1869,1.1911,1.1767,1.11%,TRUE
3-May-91,1.1744,1.1742,1.2022,1.1722,-1.35%,TRUE
2-May-91,1.1905,1.19,1.2053,1.189,-1.16%,TRUE
1-May-91,1.2045,1.204,1.2165,1.204,0.49%,TRUE
30-Apr-91,1.1986,1.1983,1.1986,1.1548,1.84%,TRUE
29-Apr-91,1.177,1.1767,1.1795,1.156,0.05%,TRUE
26-Apr-91,1.1764,1.1762,1.1823,1.173,-0.14%,TRUE
25-Apr-91,1.178,1.1775,1.1826,1.169,0.13%,TRUE
24-Apr-91,1.1765,1.1755,1.1907,1.1748,-0.63%,TRUE
23-Apr-91,1.184,1.1835,1.1855,1.1685,1.20%,TRUE
22-Apr-91,1.17,1.1695,1.1875,1.1687,-1.73%,TRUE
19-Apr-91,1.1906,1.1904,1.2147,1.189,-2.61%,TRUE
18-Apr-91,1.2225,1.222,1.2365,1.222,-1.09%,TRUE
17-Apr-91,1.236,1.2355,1.2412,1.233,-0.12%,TRUE
16-Apr-91,1.2375,1.237,1.243,1.2326,0.24%,TRUE
15-Apr-91,1.2345,1.234,1.2385,1.228,0.57%,TRUE
12-Apr-91,1.2275,1.227,1.2387,1.227,-0.74%,TRUE
11-Apr-91,1.2367,1.2362,1.2385,1.223,0.77%,TRUE
10-Apr-91,1.2272,1.227,1.243,1.227,-0.59%,TRUE
9-Apr-91,1.2345,1.234,1.2372,1.2157,1.09%,TRUE
8-Apr-91,1.2212,1.221,1.2241,1.2148,-0.69%,TRUE
5-Apr-91,1.2297,1.2292,1.2452,1.2285,-0.23%,TRUE
4-Apr-91,1.2325,1.232,1.2355,1.2204,0.16%,TRUE
3-Apr-91,1.2305,1.23,1.2375,1.2218,0.43%,TRUE
2-Apr-91,1.2252,1.2245,1.2398,1.21,1.10%,TRUE
1-Apr-91,1.2119,1.2114,1.2119,1.2114,0.00%,TRUE
29-Mar-91,1.2119,1.2114,1.2137,1.2082,0.57%,TRUE
28-Mar-91,1.205,1.204,1.2061,1.1967,-0.37%,TRUE
27-Mar-91,1.2095,1.209,1.2277,1.2005,-0.82%,TRUE
26-Mar-91,1.2195,1.219,1.2226,1.2115,-1.04%,TRUE
25-Mar-91,1.2323,1.2321,1.2458,1.2288,-1.55%,TRUE
22-Mar-91,1.2517,1.2515,1.263,1.2448,-0.25%,TRUE
21-Mar-91,1.2548,1.2543,1.2659,1.245,0.75%,TRUE
20-Mar-91,1.2455,1.245,1.2508,1.234,0.40%,TRUE
19-Mar-91,1.2405,1.24,1.2707,1.2315,-1.90%,TRUE
18-Mar-91,1.2645,1.264,1.2833,1.264,-1.52%,TRUE
15-Mar-91,1.284,1.2835,1.2988,1.2835,-1.33%,TRUE
14-Mar-91,1.3013,1.301,1.3096,1.3005,-0.04%,TRUE
