,date,security,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1240,2014-12-26,NIFTY Index,8204.8,8234.55,8147.95,8200.7
1241,2014-12-29,NIFTY Index,8214.7,8279.15,8214.7,8246.3
1242,2014-12-30,NIFTY Index,8260.3,8268.25,8220.55,8248.25
1243,2014-12-31,NIFTY Index,8243.9,8291.0,8243.75,8282.7
1244,2015-01-01,NIFTY Index,8272.8,8294.7,8248.75,8284.0
1245,2015-01-02,NIFTY Index,8288.7,8410.6,8288.7,8395.45
1246,2015-01-05,NIFTY Index,8407.95,8445.6,8363.9,8378.4
1247,2015-01-06,NIFTY Index,8325.3,8327.85,8111.35,8127.35
1248,2015-01-07,NIFTY Index,8118.65,8151.2,8065.45,8102.1
1249,2015-01-08,NIFTY Index,8191.4,8243.5,8167.3,8234.6
1250,2015-01-09,NIFTY Index,8285.45,8303.3,8190.8,8284.5
1251,2015-01-12,NIFTY Index,8291.35,8332.6,8245.6,8323.0
1252,2015-01-13,NIFTY Index,8346.15,8356.65,8267.9,8299.4
1253,2015-01-14,NIFTY Index,8307.25,8326.45,8236.65,8277.55
1254,2015-01-15,NIFTY Index,8424.5,8527.1,8380.55,8494.15
1255,2015-01-16,NIFTY Index,8504.05,8530.75,8452.25,8513.8
1256,2015-01-19,NIFTY Index,8550.05,8570.95,8531.5,8550.7
1257,2015-01-20,NIFTY Index,8575.1,8707.9,8574.5,8695.6
1258,2015-01-21,NIFTY Index,8719.65,8741.85,8689.6,8729.5
1259,2015-01-22,NIFTY Index,8745.85,8774.15,8727.0,8761.4
1260,2015-01-23,NIFTY Index,8827.95,8866.4,8795.4,8835.6
1261,2015-01-27,NIFTY Index,8871.35,8925.05,8825.45,8910.5
1262,2015-01-28,NIFTY Index,8902.75,8985.05,8874.05,8914.3
1263,2015-01-29,NIFTY Index,8901.5,8966.65,8861.25,8952.35
1264,2015-01-30,NIFTY Index,8996.6,8996.6,8775.1,8808.9
1265,2015-02-02,NIFTY Index,8802.5,8840.8,8751.1,8797.4
1266,2015-02-03,NIFTY Index,8823.15,8837.3,8726.65,8756.55
1267,2015-02-04,NIFTY Index,8789.15,8792.85,8704.4,8723.7
1268,2015-02-05,NIFTY Index,8733.1,8838.45,8683.65,8711.7
1269,2015-02-06,NIFTY Index,8696.85,8726.2,8645.55,8661.05
1270,2015-02-09,NIFTY Index,8584.4,8605.55,8516.35,8526.35
1271,2015-02-10,NIFTY Index,8478.1,8646.25,8470.5,8565.55
1272,2015-02-11,NIFTY Index,8603.3,8651.95,8593.65,8627.4
1273,2015-02-12,NIFTY Index,8676.95,8732.55,8599.25,8711.55
1274,2015-02-13,NIFTY Index,8741.5,8822.1,8729.65,8805.5
1275,2015-02-16,NIFTY Index,8831.4,8870.1,8793.4,8809.35
1276,2015-02-18,NIFTY Index,8811.55,8894.3,8808.9,8869.1
1277,2015-02-19,NIFTY Index,8883.05,8913.45,8794.45,8895.3
1278,2015-02-20,NIFTY Index,8895.5,8899.95,8816.3,8833.6
1279,2015-02-23,NIFTY Index,8856.85,8869.0,8736.1,8754.95
1280,2015-02-24,NIFTY Index,8772.9,8800.5,8726.75,8762.1
1281,2015-02-25,NIFTY Index,8801.9,8840.65,8751.4,8767.25
1282,2015-02-26,NIFTY Index,8779.0,8786.05,8669.45,8683.85
1283,2015-02-27,NIFTY Index,8729.5,8856.95,8717.45,8844.6
1284,2015-02-28,NIFTY Index,8913.05,8941.1,8751.35,8901.85
1285,2015-03-02,NIFTY Index,8953.85,8972.35,8885.45,8956.75
1286,2015-03-03,NIFTY Index,8962.85,9008.4,8925.55,8996.25
1287,2015-03-04,NIFTY Index,9109.15,9119.2,8893.95,8922.65
1288,2015-03-05,NIFTY Index,8929.4,8957.55,8849.35,8937.75
1289,2015-03-09,NIFTY Index,8891.15,8891.3,8740.45,8756.75
1290,2015-03-10,NIFTY Index,8769.75,8778.0,8677.35,8712.05
1291,2015-03-11,NIFTY Index,8728.75,8755.6,8682.35,8699.95
1292,2015-03-12,NIFTY Index,8740.65,8787.2,8732.9,8776.0
1293,2015-03-13,NIFTY Index,8844.05,8849.75,8631.75,8647.75
1294,2015-03-16,NIFTY Index,8656.75,8663.55,8612.0,8633.15
1295,2015-03-17,NIFTY Index,8689.1,8742.55,8630.8,8723.3
1296,2015-03-18,NIFTY Index,8742.9,8747.25,8664.0,8685.9
1297,2015-03-19,NIFTY Index,8749.45,8788.2,8614.65,8634.65
1298,2015-03-20,NIFTY Index,8627.9,8627.9,8553.0,8570.9
1299,2015-03-23,NIFTY Index,8591.55,8608.35,8540.55,8550.9
1300,2015-03-24,NIFTY Index,8537.05,8627.75,8535.85,8542.95
1301,2015-03-25,NIFTY Index,8568.9,8573.75,8516.55,8530.8
1302,2015-03-26,NIFTY Index,8474.95,8499.45,8325.35,8342.15
1303,2015-03-27,NIFTY Index,8396.0,8413.2,8269.15,8341.4
1304,2015-03-30,NIFTY Index,8390.95,8504.55,8380.75,8492.3
1305,2015-03-31,NIFTY Index,8527.6,8550.45,8454.15,8491.0
1306,2015-04-01,NIFTY Index,8483.7,8603.4,8464.75,8586.25
1307,2015-04-06,NIFTY Index,8615.8,8667.55,8573.75,8659.9
1308,2015-04-07,NIFTY Index,8684.45,8693.6,8586.85,8660.3
1309,2015-04-08,NIFTY Index,8698.95,8730.5,8679.8,8714.4
1310,2015-04-09,NIFTY Index,8756.2,8785.5,8682.45,8778.3
1311,2015-04-10,NIFTY Index,8774.35,8787.4,8733.6,8780.35
1312,2015-04-13,NIFTY Index,8801.75,8841.65,8762.1,8834.0
1313,2015-04-15,NIFTY Index,8844.75,8844.8,8722.4,8750.2
1314,2015-04-16,NIFTY Index,8757.05,8760.0,8645.65,8706.7
1315,2015-04-17,NIFTY Index,8698.05,8699.85,8596.7,8606.0
1316,2015-04-20,NIFTY Index,8618.8,8619.95,8422.75,8448.1
1317,2015-04-21,NIFTY Index,8416.1,8469.35,8352.7,8377.75
1318,2015-04-22,NIFTY Index,8400.4,8449.95,8284.7,8429.7
1319,2015-04-23,NIFTY Index,8478.2,8504.95,8361.85,8398.3
1320,2015-04-24,NIFTY Index,8405.7,8413.3,8273.35,8305.25
1321,2015-04-27,NIFTY Index,8330.55,8334.45,8202.35,8213.8
1322,2015-04-28,NIFTY Index,8215.55,8308.0,8185.15,8285.6
1323,2015-04-29,NIFTY Index,8274.8,8308.2,8219.2,8239.75
1324,2015-04-30,NIFTY Index,8224.5,8229.4,8144.75,8181.5
1325,2015-05-04,NIFTY Index,8230.05,8346.0,8220.45,8331.95
1326,2015-05-05,NIFTY Index,8338.4,8355.65,8280.6,8324.8
